RowID,CaseID,Vol,Page,Order,Group,PreTitle,Forename,Surname,PostTitle,Status,Place1,County1,Place2,County2,Place3,County3
1094,2-1240-04,2,1240,4,,,Randall,Holmes,junior,eldest son of Randall senior,,,,,,
1095,2-1241-01,2,1241,1,,,Robert,Holt,,,Castleton,Lancashire,,,,
1096,2-1241-02,2,1241,2,,,George,Hope,,,Doddleston,Cheshire,Broughton,Flintshire,,
1097,2-1241-02,2,1241,2,,,George,Hope,,grandchild and heir of George,,,,,,
1098,2-1242-01,2,1242,1,,,Amyas,Isaac,,,Upcott,Devon,,,,
1099,2-1242-02,2,1242,2,,,Thomas,Kemp,,,Slindon,Sussex,,,,
1100,2-1242-03,2,1242,3,,,George,Kendall,,,Exeter,Devon,,,,
1101,2-1243-01,2,1243,1,,,William,Lochard,,,Cannon Pyon,Herefordshire,,,,
1102,2-1243-02,2,1243,2,,,Spencer,Lucy,,,Charlecote,Warwickshire,,,,
1103,2-1243-03,2,1243,3,,Sir,Thomas,Lunsford,,,Lunsford,Sussex,,,,
1104,2-1243-04,2,1243,4,,,Adrian,May,,,Little Dunmow,Essex,,,,
1105,2-1243-05,2,1243,5,,,John,Merrifield,,barrister,Crewkerne,Somerset,,,,
1106,2-1243-06,2,1243,6,,Sir,John,Meux,bart,,"Kingston, Isle of Wight",Hampshire,,,,
1107,2-1244-01,2,1244,1,,,John,Minshall,,,Vale Royal,Cheshire,,,,
1108,2-1244-02,2,1244,2,,,Richard,Mogg,,,Welton,Somerset,,,,
1109,2-1244-03,2,1244,3,,,John,Morgan,,,Wells,Somerset,,,,
1110,2-1244-04,2,1244,4,,,Hugh,Morris,,,Kinnerley,Shropshire,,,,
1111,2-1244-05,2,1244,5,,,Montjoy,,Earl of Newport,of the Bedchamber to the Prince of Wales,Isle of Wight,Hampshire,,,,
1112,2-1246-01,2,1246,1,,,James,,Earl of Northampton,,,,,,,
1113,2-1246-01,2,1246,1,,,Mary,,Countess Dowager of Northampton,mother of James,,,,,,
1114,2-1251-01,2,1251,1,,,Roger,Nowell,,,Read,Lancashire,,,,
1115,2-1252-01,2,1252,1,,,Thomas,Osborne,,,Chilham,Kent,,,,
1116,2-1252-02,2,1252,2,,,Edward,Philipps,,,Mountague,Somerset,,,,
